No.,"(x,y)",1,2,3
655,"11,20",-68,-53,-52
656,"11,20",-67,-55,-52
657,"11,20",-66,-53,-42
658,"11,20",-70,-54,-44
659,"11,20",-70,-51,-42
660,"11,20",-68,-53,-44
661,"11,20",-63,-49,-43
662,"11,20",-63,-58,-46
663,"12,19",-69,-52,-46
664,"12,19",-65,-43,-51
665,"12,19",-66,-46,-50
666,"12,19",-65,-46,-60
667,"12,19",-65,-45,-54
668,"12,19",-61,-55,-58
669,"12,19",-61,-55,-49
670,"12,19",-70,-55,-52
671,"12,19",-68,-49,-53
672,"12,19",-72,-52,-48
673,"12,19",-67,-48,-47
674,"12,19",-69,-52,-50
675,"12,19",-69,-52,-61
676,"13,22",-60,-51,-45
677,"13,22",-60,-50,-50
678,"13,22",-65,-46,-58
679,"13,22",-62,-46,-54
680,"13,22",-61,-50,-52
681,"13,22",-56,-47,-50
682,"13,22",-57,-52,-52
683,"13,22",-62,-48,-48
684,"13,22",-61,-48,-48
685,"13,22",-63,-43,-50
686,"13,22",-61,-45,-54
687,"13,22",-59,-47,-52
688,"13,22",-65,-48,-54
689,"11,22",-57,-51,-48
690,"11,22",-57,-52,-45
691,"11,22",-62,-48,-44
692,"11,22",-60,-48,-43
693,"11,22",-60,-48,-43
694,"11,22",-60,-48,-43
695,"11,22",-61,-51,-43
696,"11,22",-61,-51,-43
697,"11,22",-61,-51,-47
698,"11,22",-66,-53,-49
699,"11,22",-60,-53,-47
700,"11,22",-62,-47,-47
701,"11,22",-63,-47,-48
702,"10,23",-61,-48,-58
703,"10,23",-61,-46,-51
704,"10,23",-62,-45,-50
705,"10,23",-62,-46,-50
706,"10,23",-61,-52,-48
707,"10,23",-66,-44,-52
708,"10,23",-63,-45,-50
709,"10,23",-63,-46,-51
710,"10,23",-60,-44,-47
711,"10,23",-62,-44,-45
712,"10,23",-62,-53,-52
713,"10,23",-58,-56,-51
714,"10,23",-57,-46,-50
715,"13,24",-62,-43,-53
716,"13,24",-72,-46,-53
717,"13,24",-74,-45,-53
718,"13,24",-71,-44,-49
719,"13,24",-71,-45,-57
720,"13,24",-69,-45,-59
721,"13,24",-61,-47,-59
722,"13,24",-63,-53,-55
723,"13,24",-72,-46,-54
724,"13,24",-64,-52,-52
725,"13,24",-75,-54,-50
726,"13,24",-68,-53,-53
727,"13,24",-66,-53,-55
728,"13,24",-67,-53,-52
729,"13,24",-70,-45,-51
730,"12,25",-67,-51,-46
731,"12,25",-65,-42,-52
732,"12,25",-62,-56,-50
733,"12,25",-66,-48,-56
